Respondents ,M1,M2,M3,M4,M5,M6,M7,E1,E2,E3,E4,PQ1,PQ2,PQ3,PQ4,PQ5,PQ6,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,LC1,LC2,LC3,LC4,LC5
1,3,4,3,3,3,3,3,3,3,3,4,4,4,2,4,4,4,3,3,1,1,3,3,3,3,3,3,3,2,2
2,2,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,3,4,4,4,4,2,2,2,3,2,2,3,2,2
3,3,4,5,3,3,3,4,4,4,3,3,4,3,3,4,3,3,3,4,4,4,3,3,3,4,4,4,3,3,4
4,4,4,4,2,4,2,2,3,3,4,4,4,4,3,3,4,4,4,4,2,2,2,4,2,2,3,3,4,4,4
5,2,2,4,4,2,2,2,2,3,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,2,2,3,1,3,3
6,4,4,3,4,4,2,4,4,3,5,4,3,4,5,3,4,4,4,4,4,3,4,4,4,4,4,3,5,4,3
7,4,4,4,2,2,2,4,4,4,4,4,4,2,3,2,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4
8,5,5,5,4,5,4,5,4,4,5,3,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,5,3,5
9,4,3,5,5,2,5,3,3,3,4,5,4,2,4,4,5,5,2,4,4,4,5,2,5,3,4,4,4,5,4
10,3,2,5,3,3,4,3,3,3,3,3,4,3,4,4,3,4,4,4,3,3,3,3,4,3,4,4,3,3,4
11,1,2,3,4,2,3,2,2,2,5,4,4,2,4,4,4,4,4,5,2,3,4,4,4,4,4,2,5,4,4
12,5,5,2,2,4,4,1,2,3,4,4,1,1,1,1,3,4,5,2,1,3,2,4,4,4,2,3,4,4,1
13,4,4,5,4,4,4,3,3,4,4,5,3,4,4,4,4,4,4,5,4,4,4,4,4,3,3,4,4,5,3
14,4,4,5,3,2,2,3,3,3,5,3,3,5,5,2,2,2,2,5,3,3,3,2,2,3,3,3,5,3,3
15,4,4,4,3,4,4,4,4,4,5,4,4,1,5,1,4,4,4,5,4,4,3,4,4,4,4,1,5,1,1
16,5,3,4,3,2,4,4,4,4,5,2,2,4,5,5,5,5,4,5,3,3,3,2,4,2,2,4,5,2,2
17,3,2,2,3,4,4,2,1,2,4,3,1,1,1,1,3,2,3,1,4,1,3,4,4,2,1,2,4,3,1
18,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1,4,2,5,5,5,5,5,5,5,5,5,5,4,5
19,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,1,4,4,4,4,4,5,4,4,4,4,4,4
20,3,1,4,3,3,4,2,3,1,3,3,3,1,3,3,4,3,3,4,3,3,3,3,4,2,3,1,4,3,3
21,2,2,4,3,3,4,2,2,2,4,3,3,3,4,3,4,4,3,4,4,4,3,3,4,2,2,2,4,3,3
22,4,5,5,4,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,5,5,5,5,5,5
23,4,4,4,4,5,4,4,2,2,5,5,2,4,4,4,4,4,5,5,5,5,4,5,4,1,2,2,5,5,2
24,3,3,4,3,3,4,3,3,3,4,4,4,3,4,4,4,4,4,4,3,3,3,3,4,3,3,3,4,4,4
25,4,3,1,3,4,3,4,3,2,3,1,3,1,3,1,4,4,4,5,1,1,3,4,3,1,3,2,3,1,3
26,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
27,4,4,4,2,4,4,2,4,2,4,2,4,4,2,4,4,4,2,4,4,4,2,4,4,2,4,2,4,2,4
28,4,3,4,2,3,2,3,3,3,4,4,3,2,4,3,2,2,2,4,3,2,2,3,2,3,3,3,4,4,3
29,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5
30,2,2,3,5,2,2,2,3,2,5,5,2,2,5,5,5,5,5,5,5,2,5,2,2,2,3,2,5,5,2
